fecha,producto,categoria,cantidad,precio_unitario,total_venta,cliente
2024-06-14,Laptop Dell XPS,Componentes,3,794.11,2382.33,Empresa A
2024-08-20,Cargador USB-C,Redes,18,424.99,7649.82,Empresa B
2024-01-28,Micrófono Condensador,Accesorios,14,654.59,9164.26,Empresa A
2024-07-04,Memoria RAM 16GB,Energía,5,266.95,1334.75,Freelancer
2024-09-01,Base Refrigerante,Accesorios,18,185.59,3340.62,Empresa B
2024-05-10,Escritorio Gamer,Software,15,265.78,3986.7,Empresa A
2024-06-12,Hub USB 3.0,Monitores,3,313.26,939.78,Distribuidor D
2024-07-08,Mouse Inalámbrico,Componentes,20,406.82,8136.4,Startup C
2024-10-04,Silla Ergonómica,Audio & Video,10,335.1,3351.0,Startup C
2024-06-10,Panel de Control Stream Deck,Componentes,20,633.25,12665.0,Freelancer
2024-08-17,Monitor 27'' 4K,Almacenamiento,18,207.89,3742.02,Startup C
2024-11-17,Mochila para Laptop,Software,8,481.51,3852.08,Freelancer
2024-03-17,Procesador AMD Ryzen 9,Software,1,655.51,655.51,Empresa B
2024-01-08,Silla Ergonómica,Monitores,11,63.17,694.87,Freelancer
2024-09-24,Audífonos Bluetooth,Accesorios,10,79.52,795.2,Startup C
2024-08-25,Base Refrigerante,Software,7,474.25,3319.75,Freelancer
2024-04-20,Monitor 27'' 4K,Almacenamiento,12,333.85,4006.2,Distribuidor D
2024-09-12,Placa de Video RTX 3060,Almacenamiento,15,972.01,14580.15,Distribuidor D
2024-08-28,Cargador USB-C,Periféricos,3,639.62,1918.86,Empresa B
2024-08-28,Mochila para Laptop,Periféricos,14,578.94,8105.16,Startup C
2024-12-13,Mochila para Laptop,Energía,10,213.67,2136.7,Distribuidor D
2024-04-04,Silla Ergonómica,Mobiliario,4,943.15,3772.6,Empresa A
2024-09-11,Impresora Láser,Accesorios,8,295.79,2366.32,Empresa A
2024-06-09,Impresora Láser,Almacenamiento,6,292.21,1753.26,Empresa A
2024-09-21,Licencia Visual Studio,Monitores,3,53.95,161.85,Empresa A
2024-02-28,Lámpara LED,Software,1,215.38,215.38,Empresa B
2024-07-12,Tablet Samsung,Componentes,17,29.33,498.61,Startup C
2024-02-10,Teclado Mecánico,Software,18,111.66,2009.88,Empresa B
2024-02-19,SSD NVMe 1TB,Componentes,13,859.52,11173.76,Empresa A
2024-11-11,Mochila para Laptop,Periféricos,9,109.72,987.48,Empresa B
2024-05-12,Audífonos Bluetooth,Software,11,537.27,5909.97,Freelancer
2024-05-04,Impresora Láser,Redes,9,337.78,3040.02,Empresa A
2024-10-02,Router WiFi 6,Audio & Video,8,939.05,7512.4,Empresa A
2024-10-06,SSD NVMe 1TB,Monitores,3,168.64,505.92,Distribuidor D
2024-08-12,Soporte para Monitor,Componentes,7,252.3,1766.1,Distribuidor D
2024-08-26,Fuente 750W Modular,Mobiliario,10,539.14,5391.4,Distribuidor D
2024-04-27,Escritorio Gamer,Periféricos,19,183.19,3480.61,Distribuidor D
2024-09-21,Cámara Web HD,Mobiliario,9,199.26,1793.34,Freelancer
2024-06-03,Fuente 750W Modular,Software,19,328.95,6250.05,Empresa A
2024-11-19,Router WiFi 6,Energía,11,142.75,1570.25,Distribuidor D
2024-12-15,Base Refrigerante,Energía,3,135.94,407.82,Distribuidor D
2024-01-03,Router WiFi 6,Almacenamiento,19,212.93,4045.67,Startup C
2024-08-22,Laptop Dell XPS,Mobiliario,3,798.12,2394.36,Freelancer
2024-09-16,Silla Ergonómica,Redes,7,133.59,935.13,Startup C
2024-10-20,Silla Ergonómica,Software,6,240.14,1440.84,Startup C
2024-10-11,Placa de Video RTX 3060,Redes,7,476.24,3333.68,Startup C
2024-03-19,Router WiFi 6,Almacenamiento,18,800.47,14408.46,Empresa B
2024-09-24,Mochila para Laptop,Periféricos,6,361.99,2171.94,Startup C
2024-02-11,Soporte para Monitor,Periféricos,19,112.99,2146.81,Freelancer
2024-04-20,Procesador AMD Ryzen 9,Software,3,167.1,501.3,Startup C
2024-11-10,Mouse Inalámbrico,Componentes,11,850.24,9352.64,Startup C
